normalized_part_number,models,model_count,part_number_variants,descriptions,categories,record_count,source_file
PXB-152,PL-200/200X,1,PXB-152,Cut spring assembly,Turntable,1,parts_19.csv
PXB-155,PL-100/100X; PL-200/200X,2,PXB-155,Hinge assembly,Turntable,2,parts_19.csv
PXB-177,PL-100/100X,1,PXB-177,Shaft assembly,Turntable,1,parts_19.csv
PXB-201,PL-L800,1,PXB-201,Hinge assembly,Turntable,1,parts_19.csv
PXB-212,PL-L800,1,PXB-212,Coil assembly,Turntable,1,parts_19.csv
PXB-232,PL-640/S40,1,PXB-232,Drive plate assembly,Turntable,1,parts_19.csv
PXB-233,PL-L800,1,PXB-233,Panel assembly,Turntable,1,parts_19.csv
PXB-234,PL-L800,1,PXB-234,Carrier base (A) assembly,Turntable,1,parts_19.csv
PXB-321,PL-640/S40,1,PXB-321,Hinge assembly,Turntable,1,parts_19.csv
PXB-332,PL-640/S40,1,PXB-332,Arm rest assembly,Turntable,1,parts_19.csv
PXB-333,PL-640/S40,1,PXB-333,PU cord assembly  PL-640/R Type; PU cord assembly  PL-640/WE Type; PU cord assembly  PL-640/WP Type; PU cord assembly - PL-S40/KCT Type; PU cord assembly - PL-S40/R Type; PU cord assembly - PL-S40/WP Type,Turntable,6,parts_19.csv
PXB-340,PL-640/S40,1,PXB-340,PU plate assembly,Turntable,1,parts_19.csv
PXB-345,PL-640/S40,1,PXB-345,PU cord assembly; PU cord assembly  PL-640/KU Type; PU cord assembly  PL-S40/KUT Type; PU cord assembly - PL-S40/KUT Type,Turntable,4,parts_19.csv
PXB-563,PL-640/S40,1,PXB-563,Head shell,Turntable,1,parts_19.csv
PXB-583,PL-640/S40,1,PXB-583,Weight assembly,Turntable,1,parts_19.csv
PXF-058,PL-112D,1,PXF-058,Sub weight,Turntable,1,parts_19.csv
PXM-005,PL-12DII,1,PXM-005-0,Function lever assembly,Turntable,1,parts_19.csv
PXM-020,PL-510; PL-510A; PL-510S,3,PXM-020,Motor (including drive current control assembly); Motor (including positional detector assembly),Turntable,3,parts_19.csv
PXM-022,PL-112D,1,PXM-022,Motor,Turntable,1,parts_19.csv
PXM-030,PL-530,1,PXM-030,D.D. Motor,Turntable,1,parts_19.csv
PXM-032,PL-117D,1,PXM-032,Motor,Turntable,1,parts_19.csv
PXM-037,PL-520; PL-530,2,PXM-037,Motor; Timing motor,Turntable,2,parts_19.csv
PXM-041,PL-115D,1,PXM-041,MOTOR(TURN TABLE),Turntable,1,parts_19.csv
PXM-048,PL-570,1,PXM-048,Timing motor (KUT),Turntable,1,parts_19.csv
PXM-049,PL-550; PL-570,2,PXM-049,D.D motor (Including Drive control assembly); D.D. motor,Turntable,2,parts_19.csv
PXM-050,PL-570,1,PXM-050,Timing motor (HGT),Turntable,1,parts_19.csv
PXM-053,PL-570,1,PXM-053,Timing motor (KCT),Turntable,1,parts_19.csv
PXM-054,PL-516,1,PXM-054,Motor,Turntable,1,parts_19.csv
PXM-058,PL-518,1,PXM-058,D.D motor,Turntable,1,parts_19.csv
PXM-059,PL-630,1,PXM-059,Motor,Turntable,1,parts_19.csv
PXM-061,PL-540,1,PXM-061,D.D Motor (lnclude PWX-021),Turntable,1,parts_19.csv
PXM-064,PL-500; PL-560,2,PXM-064,"MOTOR (KUT,KCT); MOTOR (S); Timing motor",Turntable,3,parts_19.csv
PXM-065,PL-560,1,PXM-065,D.D. Motor (Include oscillator assembly PWX-022),Turntable,1,parts_19.csv
PXM-069,PL-600/600X,1,PXM-069,Motor,Turntable,1,parts_19.csv
PXM-073,PL-L1000,1,PXM-073,Motor,Turntable,1,parts_19.csv
PXM-074,PL-200/200X,1,PXM-074,Motor,Turntable,1,parts_19.csv
PXM-080,PL-500X,1,PXM-080,MOTOR,Turntable,1,parts_19.csv
PXM-093,PL-L800,1,PXM-093,Motor,Turntable,1,parts_19.csv
PXM-096,PL-L800,1,PXM-096,Gear motor,Turntable,1,parts_19.csv
PXM-101,PL-L800,1,PXM-101,Dynamo,Turntable,1,parts_19.csv
PXM-126,PL-640/S40,1,PXM-126,Motor,Turntable,1,parts_19.csv
PXP-003,PL-L1000,1,PXP-003,Solenoid assembly,Turntable,1,parts_19.csv
PXT 537,PL-520,1,PXT 537,Knob (ANTI-SKATE),Turntable,1,parts_19.csv
PXT-035,PL-510; PL-510A; PL-510S,3,PXT-035,Function lever; Function lever (FUNCTION),Turntable,3,parts_19.csv
PXT-036,PL-510; PL-510A; PL-510S,3,PXT-036,Button unit; Button unit (SPEED SELECT),Turntable,3,parts_19.csv
PXT-069,PL-117D,1,PXT-069,Select crank unit,Turntable,1,parts_19.csv
PXT-076,PL-117D,1,PXT-076,EV unit,Turntable,1,parts_19.csv
PXT-085,PL-112D,1,PXT-085,Foot,Turntable,1,parts_19.csv
PXT-098,PL-550,1,PXT-098,Control panel,Turntable,1,parts_19.csv
PXT-109,PL-500; PL-500X,2,PXT-109,Adjust washer,Turntable,2,parts_19.csv
PXT-127,PLC-590,1,PXT-127,Button unit (Power),Turntable,1,parts_19.csv
PXT-129,PLC-590,1,PXT-129,"Button unit (Start,Stop)",Turntable,1,parts_19.csv
PXT-174,PL-570,1,PXT-174,Lens,Turntable,1,parts_19.csv
PXT-186,PL-570,1,PXT-186,Name plate (CONTROLS),Turntable,1,parts_19.csv
PXT-189,PL-570,1,PXT-189,Name plate (Tonearm),Turntable,1,parts_19.csv
PXT-199,PL-520,1,PXT-199,Stopper,Turntable,1,parts_19.csv
PXT-201,PL-500; PL-500X,2,PXT-201,Adjust shaft,Turntable,2,parts_19.csv
PXT-204,PL-520,1,PXT-204,Plate,Turntable,1,parts_19.csv
PXT-213,PL-520,1,PXT-213,Rod,Turntable,1,parts_19.csv
PXT-214,PL-520,1,PXT-214,Foot (KUT),Turntable,1,parts_19.csv
PXT-219,PL-520,1,PXT-219,Stopper assembly,Turntable,1,parts_19.csv
PXT-226,PL-516; PL-518,2,PXT-226,Cam assembly; Cam unit,Turntable,2,parts_19.csv
PXT-229,PL-516,1,PXT-229,Lever unit,Turntable,1,parts_19.csv
PXT-230,PL-520,1,PXT-230,"Foot (KCT, HGT)",Turntable,1,parts_19.csv
PXT-238,PL-516,1,PXT-238,EV cam unit,Turntable,1,parts_19.csv
PXT-239,PL-516,1,PXT-239,Foot unit (KCT),Turntable,1,parts_19.csv
PXT-240,PL-516,1,PXT-240,Foot unit (KUT),Turntable,1,parts_19.csv
PXT-243,PL-600/600X,1,PXT-243,PU adjust cam unit,Turntable,1,parts_19.csv
PXT-250,PL-540,1,PXT-250,Lever unit,Turntable,1,parts_19.csv
PXT-253,PL-516; PL-540,2,PXT-253,AS adjust unit,Turntable,2,parts_19.csv
PXT-262,PL-540,1,PXT-262,Rotor assembly,Turntable,1,parts_19.csv
PXT-277,PL-560,1,PXT-277,"Push button unit (Cut,Repeat,Stop)",Turntable,1,parts_19.csv
PXT-292,PL-560,1,PXT-292,Arm rest unit,Turntable,1,parts_19.csv
PXT-295,PL-500; PL-500X,2,PXT-295,Push button unit,Turntable,2,parts_19.csv
PXT-296,PL-500; PL-500X,2,PXT-296,Actuator A,Turntable,2,parts_19.csv
PXT-301,PL-500; PL-500X,2,PXT-301,EV lever unit,Turntable,2,parts_19.csv
PXT-314,PL-500; PL-500X,2,PXT-314,Actuator D,Turntable,2,parts_19.csv
PXT-355,PL-100/100X; PL-200/200X,2,PXT-355,Detector lever unit; Lever unit,Turntable,2,parts_19.csv
PXT-356,PL-200/200X,1,PXT-356,Plate,Turntable,1,parts_19.csv
PXT-382,PL-100/100X; PL-200/200X,2,PXT-382,EV lever unit; EV plate spring A,Turntable,2,parts_19.csv
PXT-385,PL-200/200X,1,PXT-385,EV cam spring,Turntable,1,parts_19.csv
PXT-391,PL-L1000,1,PXT-391,Dial unit,Turntable,1,parts_19.csv
PXT-392,PL-L1000,1,PXT-392,Case unit,Turntable,1,parts_19.csv
PXT-394,PL-L1000,1,PXT-394,Shaft holder B unit,Turntable,1,parts_19.csv
PXT-403,PL-L1000,1,PXT-403,Motor,Turntable,1,parts_19.csv
PXT-413,PL-100/100X,1,PXT-413,EV plate spring (B) unit,Turntable,1,parts_19.csv
PXT-414,PL-L1000,1,PXT-414,Screw,Turntable,1,parts_19.csv
PXT-440,PL-L800,1,PXT-440,Tracking shutter,Turntable,1,parts_19.csv
PXT-446,PL-640/S40,1,PXT-446,Detector lever unit,Turntable,1,parts_19.csv
PXT-447,PL-L800,1,PXT-447,Shell spacer unit,Turntable,1,parts_19.csv
PXT-458,PL-L800,1,PXT-458,Rotor unit,Turntable,1,parts_19.csv
PXT-517,PL-510; PL-510S,2,PXT-517,EV Lever,Turntable,2,parts_19.csv
PXT-518,PL-510; PL-510S,2,PXT-518,Wire,Turntable,2,parts_19.csv
PXT-523,PL-510; PL-510A; PL-510S,3,PXT-523,Wire,Turntable,3,parts_19.csv
PXT-524,PL-550,1,PXT-524,Arm stand,Turntable,1,parts_19.csv
PXT-527,PL-530,1,PXT-527,Arm rest unit,Turntable,1,parts_19.csv
PXT-537,PL-520,1,PXT-537,Knob,Turntable,1,parts_19.csv
PXT-910,PL-100/100X,1,PXT-910,Cartridge (without stylus),Turntable,1,parts_19.csv
PXT-941,PL-200/200X,1,PXT-941,Cartridge assembly (PL-200X),Turntable,1,parts_19.csv
PXV-033,PL-640/S40,1,PXV-033,EV sheet unit,Turntable,1,parts_19.csv
PXV-928,PL-640/S40,1,PXV-928,"Cartridge (PC-5MC, without stylus) - PL-S40/R Type; Cartridge (PC-5MC, without stylus) - PL-S40/WP Type; Cartridge (Without stylus)  PL-640/KU Type; Cartridge (Without stylus)  PL-640/R Type; Cartridge (Without stylus)  PL-640/WB Type; Cartridge (Without stylus)  PL-640/WE Type; Cartridge (Without stylus)  PL-640/WP Type",Turntable,7,parts_19.csv
PYY-009,PL-520,1,PYY-009,Anti-Skating assembly,Turntable,1,parts_19.csv
PYY-010,PL-516,1,PYY-010,Return signal unit,Turntable,1,parts_19.csv
PYY-012,PL-540,1,PYY-012,Cam unit,Turntable,1,parts_19.csv
PYY-021,PL-560,1,PYY-021,P.C. Board (output),Turntable,1,parts_19.csv
PYY-022,PL-630,1,PYY-022,Cabinet,Turntable,1,parts_19.csv
PYY-023,PL-540,1,PYY-023,PU terminal assembly,Turntable,1,parts_19.csv
PYY-024,PL-500; PL-500X; PL-600/600X,3,PYY-024,Foot; Foot assembly,Turntable,3,parts_19.csv
PYY-025,PL-600/600X,1,PYY-025,Gear assembly F,Turntable,1,parts_19.csv
PYY-058,PL-100/100X; PL-200/200X,2,PYY-058,Return signal unit,Turntable,2,parts_19.csv
PYY-071,PL-100/100X,1,PYY-071,Motor assembly,Turntable,1,parts_19.csv
PYY-100,PL-640/S40,1,PYY-100,Cam assembly,Turntable,1,parts_19.csv
PYY-104,PL-L800,1,PYY-104,Carrier base (B) unit,Turntable,1,parts_19.csv
PZS1001,PL-990,1,PZS1001,"MIRCO SW(STOP,PLAY,START)",Turntable,1,parts_19.csv
PZS1002,PL-990,1,PZS1002,MIRCO SW(SPEED 33/45),Turntable,1,parts_19.csv
R XA-310,RT-1020L,1,R XA-310-C,Tension arm assembly,Reel To Reel Tape,1,parts_19.csv
R12-001,SX-700T,1,R12-001-A,Service manual  SX-700T,Receiver,1,parts_19.csv
R12-006,SX-1500T,1,R12-006-D,Service manual SX-1500T,Receiver,1,parts_19.csv
R12-010,SX-1000TD,1,R12-010-C,Service manual  SX-1000TD,Receiver,1,parts_19.csv
R12-024,SX-440,1,R12-024-B,"Installation, Operation and Service Manual SX-440",Receiver,1,parts_19.csv
R12-025,SA-700,1,R12-025-B,Service Manual SA-700,Integrated Amplifier,1,parts_19.csv
R12-026,TX-500,1,R12-026,O/M(TA500),Tuner,1,parts_19.csv
R12-029,SA-900,1,R12-029-A,Service Manual & Operating Instructions SA-900,Integrated Amplifier,1,parts_19.csv
R12-044,TX-900,1,R12-044,O/M TX900,Tuner,1,parts_19.csv
R12-048,SX-990,1,R12-048-C,"Installation, Operation and Service Manual SX-990 (FVW)",Receiver,1,parts_19.csv
R12-054,SX-1500TD,1,R12-054-C,Service manual  SX-1500TD,Receiver,1,parts_19.csv
R12-056,SX-1000TW,1,R12-056-B,"Installation, Operation and Service Manual SX-1000TW",Receiver,1,parts_19.csv
R12-061,SX-770,1,R12-061-0,"Installation, Operating and Service Manual (KCW) SX-770",Receiver,1,parts_19.csv
R12-066,SX-9000,1,R12-066-A,"Installation, Operation and Service Manual (FW) SX9000",Receiver,1,parts_19.csv
R12-067,TX-700,1,R12-067,O/M TX700,Tuner,1,parts_19.csv
R12-068,SX-2500,1,R12-068-0,"Installation, Operation and Service Manual  (FVW)  SX-2500",Receiver,1,parts_19.csv
R12-406,T-6100,1,R12-406,O/M T-6100,Reel To Reel Tape,1,parts_19.csv
R12-407,T-6600,1,R12-407,O/M T-6600,Reel To Reel Tape,1,parts_19.csv
R12-408,T-8800,1,R12-408,O/M T-8800,Reel To Reel Tape,1,parts_19.csv
R12-409,T-3300,1,R12-409,O/M T-3300,Cassette Tape,1,parts_19.csv
R19-189,SX-1000TA (Later),1,R19-189-A,Operating instructions/service manual  SX-1000TA (Later),Receiver,1,parts_19.csv
R42-085,SX-6,1,R42-085-0,Service manual  PL-A25,Receiver,1,parts_19.csv
R42-104,PL-25/F,1,R42-104-0,Service manual  PL-25/F,Turntable,1,parts_19.csv
R42-105,T-6100; T-6600,2,R42-105,S/M T-6600,Reel To Reel Tape,2,parts_19.csv
R42-115,PL-50,1,R42-115-0,Service manual  PL-50,Turntable,1,parts_19.csv
R42-133,PL-A35,1,R42-133-0,Service Manual  PL-A35,Turntable,1,parts_19.csv
R42-145,SD-1000,1,R42-145-0,Service Manual  SD-1100 (FW),Other,1,parts_19.csv
R42-147,T-8800,1,R42-147,S/M T-8800/F,Reel To Reel Tape,1,parts_19.csv
R42-152,SR-202W,1,R42-152-0,Service manual  SR-202W,Reverb,1,parts_19.csv
R42-158,TX-600,1,R42-158,S/M(TX600),Tuner,1,parts_19.csv
R42-185,SX-6000,1,R42-185-0,Service Manual SX-6000,Receiver,1,parts_19.csv
R42-186,QX-8000,1,R42-186,Service manual QX-8000,Receiver,1,parts_19.csv
R42-187,QL-600,1,R42-187,Service manual QL-600,Integrated Amplifier,1,parts_19.csv
R42-188,QA-800; QM-800,2,R42-188,Service manual QA-800; Service manual QM-800,Amplifier; Integrated Amplifier,2,parts_19.csv
R42-189,SA-800,1,R42-189-0,Service Manual SA-800,Integrated Amplifier,1,parts_19.csv
R42-190,TX-800,1,R42-190,S/M(TX800),Tuner,1,parts_19.csv
R42-191,TX-1000,1,R42-191,S/M TX-1000,Tuner,1,parts_19.csv
R42-219,SX-626 (1971),1,R42-219-0,Service Manual SX-626 (1971),Receiver,1,parts_19.csv
R42-221,SA-500A,1,R42-221-0,Service Manual (KU/KC/FV),Integrated Amplifier,1,parts_19.csv
R42-222,TX-500A,1,R42-222,S/M(TX500A),Tuner,1,parts_19.csv
R42-227,QT-2100,1,R42-227,S/M QT-2100,8-Track Tape,1,parts_19.csv
R42-244,QT-6600,1,R42-244,Service manual QT-6600,Reel To Reel Tape,1,parts_19.csv
R42-245,T-3500,1,R42-245,S/M T-3500,Cassette Tape,1,parts_19.csv
R42-251,QT-6100,1,R42-251,Service manual QT-6100,Reel To Reel Tape,1,parts_19.csv
R42-256,QX-8000A,1,R42-256,Service manual QX-8000A,Receiver,1,parts_19.csv
R42-257,QD-210,1,R42-257,S/M QD-210,Other,1,parts_19.csv
R42-259,QL-600A,1,R42-259-0,Service manual  QL-600A,Integrated Amplifier,1,parts_19.csv
R42-261,QA-800A; QC-800A; QM-800A,3,R42-261,Service manual QA-800A; Service Manual QC-800A; Service manual QM-800A,Amplifier; Integrated Amplifier; Pre-Amplifier,3,parts_19.csv
R42-278,QX-4000,1,R42-278,Service manual QX-4000,Receiver,1,parts_19.csv
R42-282,SD-1100,1,R42-282-0,Service Manual  SD-1100  (FW),Other,1,parts_19.csv
R42-285,QX-9900,1,R42-285,Service manual QX-9900,Receiver,1,parts_19.csv
R42-328,PL-12E,1,R42-328-0,Service manual  PL-12E,Turntable,1,parts_19.csv
R42-333,TX-8100,1,R42-333-0,Service manual  TX-8100,Tuner,1,parts_19.csv
R42-334,TX-7100,1,R42-334-0,Service manual  TX-7100,Tuner,1,parts_19.csv
R42-335,TX-6200,1,R42-335-0,"Service manual TX-6200 (F,KU,FVZ)",Tuner,1,parts_19.csv
R42-341,QX-646,1,R42-341,Service Manual QX-646,Receiver,1,parts_19.csv
R42-345,RT-1020L,1,R42-345-O,Service Manual RT-1020L,Reel To Reel Tape,1,parts_19.csv
RAA-001,T-3500,1,RAA-001,KNOB(POWER),Cassette Tape,1,parts_19.csv
RAA-003,QT-6100; QT-6600; QT-74; T-6600,4,RAA-003; RAA-003-A,Knob (POWER); Knob for power switch; KNOB(POWER),Reel To Reel Tape,4,parts_19.csv
RAA-004,QT-6600; QT-74,2,RAA-004-A,Knob (REC. Level control); Level control knob (REC),Reel To Reel Tape,2,parts_19.csv
RAA-005,QT-6100; QT-6600,2,RAA-005-0,"Knob, REC level (L); Level control knob (P.B.)",Reel To Reel Tape,2,parts_19.csv
RAA-006,QT-6100,1,RAA-006-0,"Knob, REC level (R)",Reel To Reel Tape,1,parts_19.csv
RAA-007,QT-2100,1,RAA-007,"KNOB(PROGRAM ""FRONT"")",8-Track Tape,1,parts_19.csv
RAA-008,QT-6100; QT-6600,2,RAA-008-0,Push switch button ass'y; Push switch button assembly,Reel To Reel Tape,2,parts_19.csv
RAA-010,QT-6100; QT-6600,2,RAA-010-0,"Function lever knob; Knob, function lever",Reel To Reel Tape,2,parts_19.csv
RAA-013,T-3500,1,RAA-013,KNOB(LEVEL),Cassette Tape,1,parts_19.csv
RAA-034,QT-74,1,RAA-034-0,Knob (REC lever),Reel To Reel Tape,1,parts_19.csv
RAA-035,QT-74,1,RAA-035-C,Knob (TAPE SPEED SELECTOR),Reel To Reel Tape,1,parts_19.csv
RAA-036,QT-74,1,RAA-036-0,Push button assembly,Reel To Reel Tape,1,parts_19.csv
RAA-045,QT-74,1,RAA-045-C,Knob (FUNCTION lever),Reel To Reel Tape,1,parts_19.csv
RAA-055,QT-74,1,RAA-055-A,Knob (REC MASTER level control),Reel To Reel Tape,1,parts_19.csv
RAA-057,QT-74,1,RAA-057-A,Knob (PB. Level control),Reel To Reel Tape,1,parts_19.csv
RAA-060,RT-1020L,1,RAA-060-0,Lever switch knob (A) assembly,Reel To Reel Tape,1,parts_19.csv
RAA-062,RT-1011L; RT-1020L,2,RAA-062-B,Lever switch knob (B) assembly,Reel To Reel Tape,2,parts_19.csv
RAA-063,RT-1020L,1,RAA-063-0,"Knob (REC BIAS, REC EQ)",Reel To Reel Tape,1,parts_19.csv
RAA-065,RT-1020L,1,RAA-065-A,Double knob inner (REC LEVEL),Reel To Reel Tape,1,parts_19.csv
RAA-066,RT-1020L,1,RAA-066-B,Double knob outer (REC _LEVEL),Reel To Reel Tape,1,parts_19.csv
RAA-070,RT-1020L,1,RAA-070-0,Double knob inner (FRONT OUTPUT),Reel To Reel Tape,1,parts_19.csv
RAA-071,RT-1020L,1,RAA-071-0,Double knob outer (REAR OUTPUT),Reel To Reel Tape,1,parts_19.csv
RAA-089,CT-F7171,1,RAA-089-0,Knob outer,Cassette Tape,1,parts_19.csv
RAA-090,CT-F7171,1,RAA-090-0,Knob inner,Cassette Tape,1,parts_19.csv
RAA-091,CT-F7171,1,RAA-091-0,"Knob (MEMORY, LIGHT)",Cassette Tape,1,parts_19.csv
RAA-092,CT-F6161; CT-F6262; CT-F7171; CT-F7272,4,RAA-092; RAA-092-0,Knob (POWER),Cassette Tape,4,parts_19.csv
RAA-093,CT-F6161; CT-F7171; CT-F9191,3,RAA-093; RAA-093-0,"Button (MEMORY,LIMITER,BIAS,EQ,MPX FILTER,DOLBY); Knob (DOLBY NR, BIAS, EQ); Knob (DOLBY, NR, BIAS, EQ, LIMITER)",Cassette Tape,3,parts_19.csv
RAA-094,CT-F6161; CT-F7171; CT-F9191,3,RAA-094; RAA-094-0,Button (DOOR OPEN); Knob (SKIP),Cassette Tape,3,parts_19.csv
RAA-096,RT-1011L,1,RAA-096-A,Double knob outer (REC LEVEL),Reel To Reel Tape,1,parts_19.csv
RAA-097,RT-1011L,1,RAA-097-A,Double knob inner (REC LEVEL),Reel To Reel Tape,1,parts_19.csv
RAA-099,RT-1011L,1,RAA-099-A,Double knob outer (OUTPUT LEVEL),Reel To Reel Tape,1,parts_19.csv
RAA-102,RT-1011L,1,RAA-102-0,Lever switch knob,Reel To Reel Tape,1,parts_19.csv
RAA-103,RT-1011L,1,RAA-103-A,Double knob inner (OUTPUT LEVEL),Reel To Reel Tape,1,parts_19.csv
RAA-109,CT-F6161,1,RAA-109-0,Knob outer,Cassette Tape,1,parts_19.csv
RAA-110,CT-F6161,1,RAA-110-0,Knob inner,Cassette Tape,1,parts_19.csv
RAA-113,CT-F8282; CT-F9191,2,RAA-113,"Knob (POWER,PAUSE); Lever knob assembly (PAUSE)",Cassette Tape,2,parts_19.csv
RAA-117,CT-F500/505,1,RAA-117,Knob A (INPUT LEVEL R),Cassette Tape,1,parts_19.csv
RAA-118,CT-F500/505,1,RAA-118,Knob B (INPUT LEVEL L),Cassette Tape,1,parts_19.csv
RAA-119,CT-F8282; CT-F9191,2,RAA-119,"Inner knob (INPUT-MIC/LINE,OUTPUT); Volume knob A (INPUT)",Cassette Tape,2,parts_19.csv
RAA-120,CT-F8282; CT-F9191,2,RAA-120,"Outer knob (INPUT-MIC/LINE,OUTPUT); Volume knob B (OUTPUT)",Cassette Tape,2,parts_19.csv
RAA-141,CT-F8282,1,RAA-141,Knob (POWER),Cassette Tape,1,parts_19.csv
RAA-153,CT-F7272,1,RAA-153,"Knob (INPUT, OUTPUT L)",Cassette Tape,1,parts_19.csv
RAA-154,CT-F6262; CT-F7272,2,RAA-154,"Knob (INPUT R); Knob (INPUT, OUTPUT R); Knob (OUTPUT R)",Cassette Tape,3,parts_19.csv
RAA-157,CT-F7272,1,RAA-157,"Knob (MEMORY, DOLBY, TAPE)",Cassette Tape,1,parts_19.csv
RAA-159,CT-F6262,1,RAA-159,Knob (DOLBY NR); Knob (TAPE),Cassette Tape,2,parts_19.csv
RAA-160,CT-F6262,1,RAA-160,Knob (INPUT L); Knob (OUTPUT L),Cassette Tape,2,parts_19.csv
RAA-161,MA-62; MA-62A; T-3300,3,RAA-161,SLIDE KNOB,Cassette Tape; Other,3,parts_19.csv
RAA-162,CT-F8282,1,RAA-162,"Knob assembly (RESET-MEMORY/STOP, BIAS, EQ, DOLBY NR)",Cassette Tape,1,parts_19.csv
RAA-164,RT-701; RT-707,2,RAA-164,"Knob A (LINE); Knob A (MIC,LINE)",Reel To Reel Tape,2,parts_19.csv
RAA-165,RT-701; RT-707,2,RAA-165,"Knob B (MIC); Knob B (MIC,LINE)",Reel To Reel Tape,2,parts_19.csv
RAA-166,RT-701; RT-707,2,RAA-166,Knob (PITCH CONTROL),Reel To Reel Tape,2,parts_19.csv
RAA-180,CT-F1000,1,RAA-180,Lever knob A assembly,Cassette Tape,1,parts_19.csv
RAA-184,CT-F1000,1,RAA-184,Knob B assembly (MONITOR); Knob B assembly (PAUSE); Knob B assembly (POWER),Cassette Tape,3,parts_19.csv
RAA-187,CT-F1000,1,RAA-187,Knob (PITCH CONTROL),Cassette Tape,1,parts_19.csv
RAA-188,CT-F1000,1,RAA-188,"Knob (DOLBY REC CAL L, R)",Cassette Tape,1,parts_19.csv
RAA-189,CT-F1000,1,RAA-189,"Knob A assembly (MIC/DIN, LINE, OUTPUT)",Cassette Tape,1,parts_19.csv
RAA-191,CT-F1000,1,RAA-191,"Knob B (MIC/DIN, LINE, OUTPUT)",Cassette Tape,1,parts_19.csv
RAA-207,CT-F700,1,RAA-207,Knob A (INPUT/OUTPUT L),Cassette Tape,1,parts_19.csv
RAA-208,CT-F700,1,RAA-208,Knob B (INPUT/OUTPUT R),Cassette Tape,1,parts_19.csv
RAA-209,CT-F700,1,RAA-209,"Knob (METER, BIAS, EQ, DOLBY NR, INPUT)",Cassette Tape,1,parts_19.csv
RAA-210,CT-F700,1,RAA-210,Knob assembly (MEMORY),Cassette Tape,1,parts_19.csv
RAA-223,CT-F900; CT-F950,2,RAA-223,Knob (INPUT L); REC VR knob (L) assembly,Cassette Tape,2,parts_19.csv
RAA-225,CT-F900; CT-F950,2,RAA-225,Knob (INPUT R); REC VR knob (R) assembly,Cassette Tape,2,parts_19.csv
RAA-227,CT-F900; CT-F950,2,RAA-227,Knob (OUTPUT L); PB VR knob (L) assembly,Cassette Tape,2,parts_19.csv
RAA-229,CT-F900; CT-F950,2,RAA-229,Knob (OUTPUT R); PB VR knob (R) assembly,Cassette Tape,2,parts_19.csv
RAA-231,CT-F900; CT-F950,2,RAA-231,BIAS VR knob; Knob (BIAS),Cassette Tape,2,parts_19.csv
RAA-233,CT-F850,1,RAA-233,Knob (BIAS VR),Cassette Tape,1,parts_19.csv
RAA-254,CT-F600/605,1,RAA-254,Knob A (INPUT LEVEL R),Cassette Tape,1,parts_19.csv
RAA-255,CT-F600/605,1,RAA-255,Knob B (INPUT LEVEL L),Cassette Tape,1,parts_19.csv
RAA-259,CT-F1250,1,RAA-259,Switch knob ass'y,Cassette Tape,1,parts_19.csv
RAA-260,CT-F1250,1,RAA-260,REC VR knob (L) assembly,Cassette Tape,1,parts_19.csv
RAA-262,CT-F1250,1,RAA-262,REC VR knob (R) assembly,Cassette Tape,1,parts_19.csv
RAA-264,CT-F1250,1,RAA-264,PB VR knob (L) assembly,Cassette Tape,1,parts_19.csv
RAA-266,CT-F1250,1,RAA-266,PB VR knob (R) assembly,Cassette Tape,1,parts_19.csv
RAA-268,CT-F1250,1,RAA-268,Knob (A) ass'y,Cassette Tape,1,parts_19.csv
RAA-282,CT-F750,1,RAA-282,Volume knob assembly (OUTPUT),Cassette Tape,1,parts_19.csv
RAA-283,CT-F750,1,RAA-283,Volume knob (INPUT - L) assembly,Cassette Tape,1,parts_19.csv
RAA-284,CT-F750,1,RAA-284,Volume knob (INPUT - R) assembly,Cassette Tape,1,parts_19.csv
RAA-294,CT-F1250,1,RAA-294,Knob,Cassette Tape,1,parts_19.csv
RAA-295,CT-F1250,1,RAA-295,BLE knob,Cassette Tape,1,parts_19.csv
RAA-301,CT-F950,1,RAA-301,Tape selector knob assembly,Cassette Tape,1,parts_19.csv
RAA-303,CT-F850,1,RAA-303,REC VR knob (L) assembly,Cassette Tape,1,parts_19.csv
RAA-305,CT-F850,1,RAA-305,REC VR knob (R) assembly,Cassette Tape,1,parts_19.csv
RAA-307,CT-F850,1,RAA-307,Tape Selector knob assembly,Cassette Tape,1,parts_19.csv
RAA-309,CT-F850,1,RAA-309,P.B. VR knob (L) assembly,Cassette Tape,1,parts_19.csv
RAA-311,CT-F850,1,RAA-311,P.B. VR knob (R) assembly,Cassette Tape,1,parts_19.csv
RAA-351,CT-F1050,1,RAA-351,Volume knob L assembly; VR knob L assembly (INPUT),Cassette Tape,2,parts_19.csv
RAA-352,CT-F1050,1,RAA-352,Volume knob R assembly; VR knob R assembly (INPUT),Cassette Tape,2,parts_19.csv
RAA-353,CT-F1050,1,RAA-353,Volume knob assembly; Volume knob assembly (OUTPUT),Cassette Tape,2,parts_19.csv
RAC-001,RT-1020L,1,RAC-001-A,Function button (STOP),Reel To Reel Tape,1,parts_19.csv
RAC-002,RT-1020L,1,RAC-002-A,Function button (FAST); Function button (PLAY); Function button (REWI,Reel To Reel Tape,3,parts_19.csv
RAC-003,RT-1020L,1,RAC-003-B,Function button (REC),Reel To Reel Tape,1,parts_19.csv
